Outdoors,Exploration,Food,Socializing,Gym,Sports,Self Care,Games,Movies & Shows,Music,Fashion,Adventure,Learning,Creative,Cars,Animals,Video Games
Hiking,Traveling,Food,Partying & Clubbing,Gym,Fencing,Yoga,Bowling,Action,Hip-hop/Rap,Streetwear,Skydiving,Reading,Animation,Cars,Animals,League of Legends
Climbing,Exploring ,Boba,Drinking,,Golf,Meditation,Chess,Drama,Rock,Vintage/Workwear,Rafting,Podcasts,Photography,,,Smash Bros / Smash Ultimate
Fishing,,Cooking,Smoking,,Martial Arts,Skincare,Board Games,Comedy,Alt/Indie,High-end/Designer,Scuba Diving,Networking,Videography,,,Minecraft
Stargazing,,,Going out with Friends,,Archery,,Gambling,Romance,K-Pop,Avant-garde,Paragliding,Journaling,Graphic Design,,,Nintendo Games
Camping,,,,,Formula 1,,Puzzles,K-Drama,Pop,Techwear/Gorpcore,Theme Parks,Storywriting,Drawing,,,Rocket League
Beach Outs,,,,,Skating,,,Anime,Dance/Electronic,Minimalism,,,Crochet & Sewing,,,Racing
Biking,,,,,Snowboarding,,,Documentaries,Experimental,Y2K/Cyber,,,Painting,,,Valorant
Gardening,,,,,Freestyle,,,Horror,Classical,Grunge,,,Music,,,Fortnite
,,,,,Basketball,,,Sci-Fi,Country,Skatecore,,,,,,Overwatch
,,,,,Soccer,,,Crime/Thriller,Metal,DIY,,,,,,Call of Duty
,,,,,Volleyball,,,Musicals,Jazz,Chic,,,,,,Battlefield
,,,,,Football,,,Noir,R&B,,,,,,,Halo
,,,,,Cricket,,,Psychological,Blues,,,,,,,Apex
,,,,,Baseball,,,,Folk,,,,,,,CS:GO
,,,,,Field hockey,,,,,,,,,,,Fallout
,,,,,Ice Hockey,,,,,,,,,,,Skyrim
,,,,,Biking,,,,,,,,,,,
,,,,,Swimming,,,,,,,,,,,
,,,,,Track,,,,,,,,,,,
,,,,,Cricket,,,,,,,,,,,
,,,,,Tennis,,,,,,,,,,,
,,,,,Badminton,,,,,,,,,,,
,,,,,Football,,,,,,,,,,,
