Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
Courage,Responsible,Introvert,Cooperation,Optimistic
Adventurous,Respectful,Extravert,Friendly,Calm
Free spirited,Hardworking,Ambivert,Sensitivity,Emotionally stable
Open-minded,Determined,Reserved,Warmth,Relaxed
Creativity,Focused,Sociable,Trustworthy,Resilient
Thoughtfulness,Self-motivated,Assertive,Understanding,Secure
Imaginative,Ambitous,Independent,Helpful,Confident
Curious,Dilligent,Active,Honest,
Inventive,Competent,Energetic,Modest,
Cautious,Goal-oriented,Outgoing,Loyal,
Consistent,Organized,,Dependable,
Insightfulness,Efficient,,Altruistic,
,Easy-going,,Empathetic,
,Careful,,Caring,
,Reliable,,Compassionate,
